original_chinese_name,translated_name,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
吉木萨尔县北庭镇成梅水产养殖场,Chengmei Aquaculture Farm,,,,,,,,,,,
呼图壁县大海子渔业养殖专业合作社,Hutubi County Dahaizi Fishery Breeding Professional Cooperative,,,,,,,,,,,
塔城开元生物工程有限公司,Tacheng Kaiyuan Biological Engineering Co.,,,,,,,,,,,
巴州森汰渔业养殖有限公司,Bazhou Senie Fisheries Breeding Co.,,,,,,,,,,,
新疆叶河阳光农业股份有限公司,Xinjiang Yehe Sunshine Agriculture Co.,Xinjiang Yehe Sunshine Agriculture Company Limited,"December 28, 2024",Labor Issues - Agriculture; Labor Issues - Construction; CBP Withhold Release Orders (WRO) and Findings List Ownership: 100.0%; Government Ownership: 100.0%; Party Affiliated Ownership: 100.0%; U.S. Export Restricted - Entity List Ownership: 100.0%; U.S. Export Restricted - SDN Ownership: 100.0%; U.S. Government Procurement Restricted Ownership: 100.0%; UFLPA Entity List Ownership: 100.0%; Xinjiang Supply Chain Exposure Ownership: 100.0%, 100.0%,"""Third Division Tumusuk City State-Owned Assets Supervision And Administration Commission"" (2015: 0.6, 2016: 0.6, 2017-2018: 0.6); ""The 51st Regiment Of The Third Division Of Xinjiang Production And Construction Corps"" (2016: 0.05, 2017-2018: 0.05); ""The Third Division Of The 53rd Regiment Of The Xinjiang Production And Construction Corps"" (2016: 0.05, 2017-2018: 0.05); ""The 49th Regiment Of The Third Division Of Xinjiang Production And Construction Corps"" (2016: 0.05, 2017-2018: 0.05); ""YAN Xing"" (2015: 0.02, 2016: 0.02); ""Trade Union Of 41st Regiment Third Division Xinjiang Production And Construction Corps"" (2016: 0.05); ""Xinjiang Dongshuo Engineering Consulting Company Limited"" (2016: 0.03, 2017-2018: 0.02); ""Aksu Dongsheng Agricultural Development Company Limited"" (2016: 0.03); ""Xinjiang Yurun Construction And Garden Installation Engineering Company Limited"" (2016: 0.03); ""CHEN Fangzhi"" (2016: 0.01); ""LIU Wenquan"" (2016: 0.01); ""ZHANG Xiuqing"" (2016: 0.01); ""LI Shiping"" (2016: 0.01); ""LI Shiyan"" (2016: 0.01); ""ZHANG Kejun"" (2016: 0.01); ""DANG Deyu"" (2016: 0.01); ""ZHANG Yuxin"" (2016: 0.01); ""QI Bingzhi"" (2016: 0.01)",Tumushuke Sunshine Agricultural Equipment Company Limited:1; Xinjiang Yehe Sunshine Agriculture Company Limited Caohu Fruit Branch:1; Xinjiang Yehe Sunshine Agriculture Company Limited Gebi Facility Agriculture Branch:1; Xinjiang Yehe Sunshine Agriculture Company Limited Pengpeng Nursery Branch:1; Tumushuke Xinda Plastic Products Processing Company Limited:0.4; Tumu Shuke Yehe Sunshine Dongsheng Technology Company Limited:0.35; Xinjiang Silk Road Yangtian Agricultural Technology Company Limited:0.32; Tumushuk Yehe Baby Sericulture Technology Company Limited:0.3,Tumu Shuke Tianheng Asset Management Company Limited:1,Xinjiang Production and Construction Corps:1,,,/pdfs/Xinjiang Yehe Sunshine Agriculture Company Limited.pdf
布尔津县鑫太阳渔业休闲旅游有限公司,Xintaiyang Fishery Leisure Tourism Co.,,,,,,,,,,,
新疆北屯额尔齐斯河特种冷水鱼繁育有限公司,Xinjiang Beitun Ertix River Special Cold Water Fish Breeding Co.,,,,,,,,,,,
新疆天达生物制品有限公司,Xinjiang Tianda Biological Products Co.,Xinjiang Tianda Biological Products Company Limited,"January 15, 2025",Labor Issues - Food Processing; Government Ownership: 27.0%; Xinjiang Supply Chain Exposure Ownership: 27.0%, 27.0%,"""LI Bin"" (2016: 0.411, 2017: 0.411, 2018-2025: 0.411); ""Xinjiang Tianda Biological Products Company Limited Trade Union"" (2017: 0.13901); ""Xinjiang Investment Development (Group) Company Limited"" (2016: 0.27, 2017: 0.27, 2018-2025: 0.27); ""Xinjiang Tianda Biological Products Company Limited Trade Union Committee"" (2016: 0.13901, 2004-2013: 0.109, 2018-2025: 0.13901); ""Urumqi Huanuowei Technology Company Limited"" (2016: 0.07001, 2017: 0.07001, 2004-2013: 0.1, 2018-2025: 0.07001); ""SUN Benyu"" (2016: 0.06, 2017: 0.06, 2018-2025: 0.06); ""MA Lina"" (2016: 0.05, 2017: 0.05, 2018-2025: 0.05)",Urumqi Linghua Msg Company Limited:1; Xinjiang Tianda Bio-Engineering Company Limited:1; Xinjiang Tianda Seasoning Food Company Limited:1; Xinjiang Suger Biological Products Company Limited:0.82056; Urumqi Linghua Water Industry Company Limited:0.8; Xinjiang Huayuan Thermal Power Company Limited:0.0909; Urumqi Huayuan Thermal Power Company Limited:0.0271; Tecon Biology Company Limited:0.0165,LI Bin:0.411; Xinjiang Investment Development (Group) Company Limited:0.27; Xinjiang Tianda Biological Products Company Limited Trade Union Committee:0.13901; Urumqi Huanuowei Technology Company Limited:0.07001; SUN Benyu:0.06; MA Lina:0.05,LI Bin:0.411; State-owned Assets Supervision and Administration Commission of the People's Government of Xinjiang Uygur Autonomous Region:0.27; Xinjiang Tianda Biological Products Company Limited Trade Union Committee:0.139; Urumqi Huanuowei Technology Company Limited:0.07; SUN Benyu:0.06; MA Lina:0.05,,,/pdfs/Xinjiang Tianda Biological Products Company Limited.pdf
泽普县金凤泽普农场有限责任公司,Zepu County Jinfeng Zepu Farm Co.,,,,,,,,,,,
石河子市东阜城镇阜渔水产养殖专业合作社,Fuyu and Aquaculture Professional Cooperative in Dongfu Town,,,,,,,,,,,
福海水产有限责任公司,Fuhai Aquatic Products Co.,,,,,,,,,,,
阿勒泰市海杰水产养殖有限责任公司,Altay Haijie Aquaculture Co.,,,,,,,,,,,
福海县布伦托海水产养殖开发有限公司,Buluntuo Seawater Aquaculture and Development Co,,,,,,,,,,,
于田县天然水产养殖场,Yutian County Natural Aquaculture Farm,,,,,,,,,,,
五家渠余军水产养殖用品商店,Wujiaqu Yujun Aquaculture Supplies Store,,,,,,,,,,,
五家渠市小康水产养殖场,Wujiaqu City Xiaokang Aquaculture Farm,,,,,,,,,,,
博乐市渔鲜源水产养殖有限责任公司,Bole Yuxianyuan Aquaculture Co.,,,,,,,,,,,
可克达拉兄弟水产养殖繁育专业合作社,Kokedala Brothers Aquaculture Breeding Professional Cooperative,,,,,,,,,,,
呼图壁县五工台镇润丰水产养殖场,Runfeng Aquaculture Farm,,,,,,,,,,,
和田域见疆来水产养殖有限责任公司,Hotan Laishi Aquaculture Co.,,,,,,,,,,,
哈密正华水产品养殖合作社,Hami Zhenghua Aquatic Products Breeding Cooperative,,,,,,,,,,,
喀什市湖鑫水产销售部,Kashgar Huxin Aquatic Products Sales Department,,,,,,,,,,,
图木舒克市满堂红养殖农民专业合作社,Tumushuke City Mantanghong Breeding Farmers Professional Cooperative,,,,,,,,,,,
塔城市斌峰水产养殖场,Tacheng Binfeng Aquaculture Farm,,,,,,,,,,,
墨玉县泽丰渔业孵化养殖有限公司,Zefeng Fishery Incubation and Breeding Co.,,,,,,,,,,,
巴州万锦水产有限责任公司,Bazhou Wanjin Aquatic Products Co.,,,,,,,,,,,
巴州利恒生态渔业有限公司,Bazhou Liheng Ecological Fishery Co.,,,,,,,,,,,
巴州鸿峰水产品养殖有限公司,Bazhou Hongfeng Aquatic Products Breeding Co.,,,,,,,,,,,
布尔津县心国冷水鱼养殖发展有限公司,Bulgin County Xinguo Cold Water Fish Farming Development Co.,,,,,,,,,,,
库车许氏渔业有限公司,Kuche Xu's Fishery Co.,,,,,,,,,,,
新疆万木春水产有限公司,Xinjiang Wanmuchun Aquatic Products Co.,,,,,,,,,,,
新疆博斯腾湖生态渔业有限公司,Xinjiang Bosteng Lake Ecological Fisheries Co.,,,,,,,,,,,
新疆博湖三和水产有限责任公司,Xinjiang Bohu Sanhe Aquatic Products Co.,,,,,,,,,,,
新疆探寻水产品农民专业合作社,Xinjiang Explore Aquatic Products Farmers Professional Cooperative,,,,,,,,,,,
新疆瑞雪水产养殖有限公司,Xinjiang Ruixue Aquaculture Co.Ltd,,,,,,,,,,,
新疆男咔吾乐食品开发有限公司,Xinjiang Nankawule Food Development Co.,Xinjiang Nankawule Food Development Company Limited,"December 13, 2023",Labor Issues - Construction Ownership: 5.0%,,"""Unknown"" (2019-2025: 0.7); ""Unknown"" (2019-2025: 0.25); ""Xinjiang Changzhe Impression Construction Engineering Investment Group Company Limited"" (2019-2025: 0.05)",,:0.7; :0.25; Xinjiang Changzhe Impression Construction Engineering Investment Group Company Limited:0.05,:0.737; :0.262,,,/pdfs/Xinjiang Nankawule Food Development Company Limited.pdf
昆玉市老兵镇龙虾养殖有限责任公司,Kunyu Veterans Town Lobster Breeding Co.,,,,,,,,,,,
民丰县小凯渔业场,Minfeng County Xiaokai Fishing Ground,,,,,,,,,,,
温宿县湘新豫水产养殖有限公司,Wensu County Xiangxin Yu Aquaculture Co.,,,,,,,,,,,
玛纳斯县桑达水产养殖农场（个体工商户）,Sangda Aquaculture Farm in Manas County,,,,,,,,,,,
额敏原野家庭农场,Emin Yuanye Family Farm,,,,,,,,,,,
且末县富鑫养殖开发有限公司,Qiemo County Fuxin Breeding Development Co.,,,,,,,,,,,
且末县时时鲜水产有限公司,Qiemo County Shishixian Aquatic Products Co.,Qiemo County Shishixian Aquatic Products Company Limited,"August 28, 2024",,,,,Zhongshan Desert Star Aquatic Products Company Limited:0.6; Zhuhai Chuanyue Clothing Company Limited:0.4,GONG Yonghong:0.766; TIAN Chunhua:0.204; TIAN Maoyi:0.03,,,/pdfs/Qiemo County Shishixian Aquatic Products Company Limited.pdf
中海蓝建新疆实业发展有限公司,Zhonghai Lanjian Xinjiang Industrial Development Co.,,,,,,,,,,,
乌什县兴隆渔场有限责任公司,Wushi County Xinglong Fisheries Co.,,,,,,,,,,,
乌什县天萌农业科技开发有限公司,Wushi County Tianmeng Agricultural Technology Development Co.,,,,,,,,,,,
乌什县峻鼎渔业开发有限责任公司,Wushi County Junding Fishery Development Co.,,,,,,,,,,,
乌什县龙泉山庄,Longquan Villa,Sanya Longquan Villa Hotel Company Limited,"January 29, 2024",,,"""Sanya Dongyi Commercial Management Company Limited"" (2020: 0.99, 2021: 0.99); ""GU Junqiang"" (2019: 0.5, 2012-2016: 0.5, 2017-2018: 0.5); ""GU Junyin"" (2019: 0.4, 2000-2011: 0.4, 2012-2016: 0.4, 2017-2018: 0.4); ""GU Shuqiang"" (2019: 0.0725, 2020: 0.01, 2000-2011: 0.0725, 2012-2016: 0.0725, 2017-2018: 0.0725); ""JIANG Biao"" (2000-2011: 0.0275, 2012-2016: 0.0275); ""WANG Yanzhong"" (2019: 0.0275); ""FU Yudong"" (2021: 0.01, 2022-2025: 0.01)",Guest International Hotel Sanya Longquan Villa Hotel Company Limited:1; Guizhou Qiandaxin Mining Investment Company Limited:0.8667; Guizhou Fortune Real Estate Development Company Limited:0.5; Weng'an Guixin Yellow Phosphorus (Factory) Company Limited:0.06611; Hainan Jiufu Wood Industry Company Limited:,Sanya Dongyi Commercial Management Company Limited:0.99; FU Yudong:0.01,FU Yudong:0.505; ZHANG Jing:0.248; ZHANG Ruisen:0.198; WEI Yuzhu:0.05,,,/pdfs/Sanya Longquan Villa Hotel Company Limited.pdf
乌什域上金棘农业发展有限公司,Ushiyu Shangjinji Agricultural Development Co.,,,,,,,,,,,
乌恰县琼沙孜高原泉水产养殖农民专业合作社,Wuqia County Qiongshazi Plateau Spring Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌苏市四棵树镇兴丰水产养殖场,Xingfeng Aquaculture Farm,,,,,,,,,,,
乌苏市明力盛林农牧业发展有限公司,Wusu Minglishenglin Agriculture and Animal Husbandry Development Co.,,,,,,,,,,,
乌苏市皇宫镇海子湾村志辉家庭农场,Zhihui Family Farm,Jiangxian Zhihui Family Farm,"December 16, 2023",,,,,SUN Huihui:1,SUN Huihui:1,,,/pdfs/Jiangxian Zhihui Family Farm.pdf
乌苏市皇宫镇海子湾村撒氏家庭农场,Sa family farm,,,,,,,,,,,
乌苏市皇宫镇龙旺水产养殖家庭农场,Longwang Aquaculture Family Farm,,,,,,,,,,,
乌苏市西湖镇徐鼎记特色水产养殖专业合作社,Xu Dingji Characteristic Aquaculture Professional Cooperative in Xihu Town,,,,,,,,,,,
乌苏市车排子垦区杨天星渔业养殖场,Yangtianxing Fishery Farm,,,,,,,,,,,
乌苏市鸿米农业有限责任公司,Wusu Hongmi Agriculture Co.,Wusu Hongmi Agriculture Company Limited,"February 01, 2023",Labor Issues - Agriculture,,"""LIU Wenhui"" (2020-2025: 1)",,LIU Wenhui:1,LIU Wenhui:1,,,/pdfs/Wusu Hongmi Agriculture Company Limited.pdf
乌鲁木齐农正州牧种植养殖农民专业合作社,Urumqi Nongzhengzhou Animal Husbandry Planting and Breeding Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐卧龙鱼乡水产养殖农民专业合作社,Urumqi Wolong Fish Township Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐县常氏水产养殖场,Changshi Aquaculture Farm in Urumqi County,,,,,,,,,,,
乌鲁木齐县永春水产养殖场,Urumqi County Yongchun Aquaculture Farm,,,,,,,,,,,
乌鲁木齐合力兴养殖农民专业合作社,Urumqi Helixing Breeding Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐头屯河区皮公子海产店,Urumqi Tou Tunhe District Pi Gongzi Seafood Store,,,,,,,,,,,
乌鲁木齐市乾香园生态养殖有限公司,Urumqi Qianxiangyuan Ecological Breeding Co.,,,,,,,,,,,
乌鲁木齐市四季渔丰水产养殖场,Urumqi Four Seasons Yufeng Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市成佳林水产养殖农民专业合作社,Urumqi Chengjialin Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐市文翠聚宝水产养殖农民专业合作社,Urumqi Wencui Jubao Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐市水岸人家水产养殖农民专业合作社,Urumqi Shui'anrenjia Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐市沙依巴克区刘亮水产经营部,Liuliang Aquatic Products Operation Department,,,,,,,,,,,
乌鲁木齐市沙依巴克区天乐顺水产经营部,Tianleshun Aquatic Products Operation Department,,,,,,,,,,,
乌鲁木齐市沙依巴克区高村水产销售店,Gaocun Aquatic Products Sales Store,,,,,,,,,,,
乌鲁木齐市瑞晨牧源养殖农民专业合作社,Urumqi Ruichen Muyuan Breeding Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐市米东区三道坝冬志水产养殖专业合作社,Sandaoba Dongzhi Aquaculture Professional Cooperative in Midong District,,,,,,,,,,,
乌鲁木齐市米东区华新康盛家庭农场,Huaxin Kangsheng Family Farm,,,,,,,,,,,
乌鲁木齐市米东区周玉花水产养殖场,Zhou Yuhua Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区四季青青水产养殖场（个体工商户）,Sijiqingqing Aquaculture Farm in Midong District,,,,,,,,,,,
乌鲁木齐市米东区天德水产养殖场,Tiande Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区天文水产养殖,Tianwen Aquaculture in Midong District,,,,,,,,,,,
乌鲁木齐市米东区守超田园水产养殖场,Shouchao Tianyuan Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区尚源生态农场,Shangyuan Ecological Farm,,,,,,,,,,,
乌鲁木齐市米东区康湘华水产养殖场,Kangxianghua Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区徐桂臣水产养殖场,Xu Guichen Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区振兴专业合作社,Urumqi Midong District Revitalization Professional Cooperative,,,,,,,,,,,
乌鲁木齐市米东区杨哥水产养殖场,Yangge Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区照军水产养殖,Zhaojun Aquaculture,,,,,,,,,,,
乌鲁木齐市米东区盛荣家庭农场,Shengrong Family Farm,,,,,,,,,,,
乌鲁木齐市米东区祥子水产养殖,Xiangzi Aquaculture,,,,,,,,,,,
乌鲁木齐市米东区聚源水产养殖场,Juyuan Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区豫新双华水产养殖场,Yuxin Shuanghua Aquaculture Farm,,,,,,,,,,,
乌鲁木齐市米东区辉升养殖,Huisheng Breeding in Midong District,,,,,,,,,,,
乌鲁木齐市米东区马田勇家庭农场,Ma Tianyong Family Farm,,,,,,,,,,,
乌鲁木齐市聚鑫鹏飞畜牧养殖合作社,Urumqi Juxin Pengfei Animal Husbandry and Breeding Cooperative,,,,,,,,,,,
乌鲁木齐常氏丰源水产养殖农民专业合作社,Urumqi Changshi Fengyuan Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐广利工贸有限责任公司,Urumqi Guangli Industrial Trade Co.Ltd,,,,,,,,,,,
乌鲁木齐柳丝湖水产养殖农民专业合作社,Urumqi Liusi Lake Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐正大畜牧有限公司,Urumqi Zhengda Animal Husbandry Co.,Urumqi Zhengda Animal Husbandry Company Limited,"August 13, 2024",Labor Issues - Agriculture; Government Ownership: 67.3%; CBP Withhold Release Orders (WRO) and Findings List Ownership: 6.6%; Party Affiliated Ownership: 6.6%; U.S. Export Restricted - Entity List Ownership: 6.6%; U.S. Export Restricted - SDN Ownership: 6.6%; U.S. Government Procurement Restricted Ownership: 6.6%; UFLPA Entity List Ownership: 6.6%; Xinjiang Supply Chain Exposure Ownership: 6.6%, 67.3%,"""Chia Tai Investment Co.,Ltd."" (1992-1999: 0.93431, 2000-2015: 0.93431, 2016-2025: 0.93431); ""Xinjiang Production And Construction Corps Investment Company Limited"" (1992-1999: 0.0657, 2016-2025: 0.0657); ""Xinjiang Production And Construction Corps Investment Company Limited"" (2000-2015: 0.0657)",Urumqi Zhengda Animal Husbandry Company Limited Aksu Branch:1; Urumqi Zhengda Animal Husbandry Company Limited Yili Branch:1,"Chia Tai Investment Co.,Ltd.:0.93431; Xinjiang Production And Construction Corps Investment Company Limited:0.0657",Wide Master Investment Limited:0.607; Xinjiang Production and Construction Corps:0.066,,,/pdfs/Urumqi Zhengda Animal Husbandry Company Limited.pdf
乌鲁木齐水印水产养殖有限公司,Urumqi Watermark Aquaculture Co.,,,,,,,,,,,
乌鲁木齐沙依巴克区润涵水产经营部,Runhan Aquatic Products Operation Department,,,,,,,,,,,
乌鲁木齐沙依巴克区瑞鑫水产经营部,Ruixin Aquatic Products Operation Department,,,,,,,,,,,
乌鲁木齐沙依巴克区金鑫永利水产品销售行,Jinxin Yongli Aquatic Products Sales Store in Sayibak District,,,,,,,,,,,
乌鲁木齐海宝宝水产养殖专业合作社,Urumqi Haibaobao Aquaculture Professional Cooperative,,,,,,,,,,,
乌鲁木齐祥瑞鑫水产养殖农民专业合作社,Urumqi Xiangruixin Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐经济技术开发区（头屯河区）德洛斯生态养殖场（个体工商户）,Urumqi Economic and Technological Development Zone (Toutun River District) Delos Ecological Breeding Farm,,,,,,,,,,,
乌鲁木齐绿嘉园养殖种植农民专业合作社,Urumqi Green Garden Breeding and Planting Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐绿色永康水产养殖农民专业合作社,Urumqi Green Yongkang Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
乌鲁木齐聚义轩种植养殖农民专业合作社,Urumqi gathers at Yixuan Planting and Breeding Farmers Professional Cooperative,,,,,,,,,,,
