original_chinese_name,translated_name,location_eng,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
天津淳康瑞水产养殖有限公司,"Tianjin Chunkangrui Aquaculture Co., Ltd",Tianjin,,,,,,,,,,,
天津市晟淼水产养殖有限公司,"Tianjin Shengmiao Aquaculture Co., Ltd",Tianjin,Tianjin Shengmiao Aquaculture Company Limited,"September 09, 2024",,,,,,,Tianjin Shengmiao Aquaculture Company Limited::296000:2024-06-06; Tianjin Shengmiao Aquaculture Company Limited:Fishery Enhancement and Release Project:296000:2024-06-05,,/pdfs/Tianjin Shengmiao Aquaculture Company Limited.pdf
天津神堂水产育苗养殖有限公司,"Tianjin Shentang Aquatic Seedling Breeding Co., Ltd",Tianjin,,,,,,,,,,,
黄骅市博德水产育苗养殖有限公司,"Huanghua Bode Aquatic Breeding Co., Ltd",Hebei,,,,,,,,,,,
井陉县绵冶冷水鱼养殖有限公司,"Jingxing County Mianye Cold Water Fish Farming Co., Ltd",Hebei,,,,,,,,,,,
石家庄市鹿泉区田语生态观光园有限公司,"Tianyu Ecological Tourism Park Co., Ltd., Luquan District, Shijiazhuang City",Hebei,,,,,,,,,,,
磁县学文养殖场,Cixian Xuewen Livestock Farm,Hebei,,,,,,,,,,,
河北福源水产养殖有限公司,"Hebei Fuyuan Aquaculture Co., Ltd",Hebei,,,,,,,,,,,
唐山市维卓水产养殖有限公司,"Tangshan Weizhuo Aquaculture Co., Ltd",Hebei,Tangshan Weizhuo Aquaculture Company Limited,"October 30, 2022",,,"""CHENG Jiayu"" (2013-2025: 0.5); ""CHENG Xiangming"" (2013-2025: 0.5)",,CHENG Xiangming:0.5; CHENG Jiayu:0.5,CHENG Jiayu:0.5; CHENG Xiangming:0.5,,,/pdfs/Tangshan Weizhuo Aquaculture Company Limited.pdf
唐山曹妃甸区丰英水产养殖有限公司,"Tangshan Caofeidian Fengying Aquaculture Co., Ltd",Hebei,,,,,,,,,,,
永清县铭涵水产养殖有限公司,"Yongqing Minghan Aquaculture Co., Ltd",Hebei,,,,,,,,,,,
内蒙古绿野农牧业发展有限公司,"Inner Mongolia Lvye Agriculture and Animal Husbandry Development Co., Ltd",Inner Mongolia,,,,,,,,,,,
呼和浩特园生养殖有限责任公司,"Hohhot Yuansheng Breeding Co., Ltd",Inner Mongolia,,,,,,,,,,,
杭锦后旗联川农牧渔专业合作社,"Hangjinhou Banner Lianchuan Agriculture, Animal Husbandry and Fishery Professional Cooperative",Inner Mongolia,,,,,,,,,,,
巴彦淖尔市纳林湖农林水产科技有限公司,"Bayannur Nalin Lake Agriculture, Forestry and Aquatic Technology Co., Ltd",Inner Mongolia,,,,,,,,,,,
